0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.359051,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364888,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.35064,0.349295,0.347895,0.34644
0.342559,0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.35905,0.359954,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364614,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354356,0.353171,0.351932,0.350641,0.349295,0.347895
0.340907,0.342559,0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.35493,0.356037,0.357093,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365634,0.365149,0.364615,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354357,0.353171,0.351932,0.350641,0.349295
0.339198,0.340907,0.342559,0.344154,0.345692,0.347174,0.348602,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365635,0.365149,0.364615,0.364032,0.363401,0.362721,0.361992,0.361214,0.360386,0.359508,0.35858,0.357601,0.356571,0.35549,0.354357,0.353171,0.351932,0.350641
0.337431,0.339198,0.340907,0.342559,0.344153,0.345692,0.347174,0.348601,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363723,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366072,0.365635,0.365149,0.364615,0.364032,0.363401,0.362721,0.361993,0.361214,0.360386,0.359509,0.35858,0.357601,0.356571,0.35549,0.354357,0.353171,0.351932
0.335604,0.33743,0.339198,0.340907,0.342559,0.344153,0.345692,0.347174,0.348601,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363722,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366073,0.365635,0.365149,0.364615,0.364032,0.363401,0.362721,0.361993,0.361214,0.360386,0.359509,0.35858,0.357601,0.356571,0.35549,0.354357,0.353171
0.333718,0.335604,0.33743,0.339198,0.340907,0.342559,0.344153,0.345692,0.347174,0.348601,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363722,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366959,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366073,0.365635,0.365149,0.364615,0.364032,0.363401,0.362721,0.361993,0.361214,0.360386,0.359509,0.35858,0.357602,0.356572,0.35549,0.354357
0.331771,0.333717,0.335604,0.33743,0.339198,0.340907,0.342559,0.344153,0.345691,0.347174,0.348601,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363722,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366958,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366073,0.365635,0.365149,0.364615,0.364032,0.363401,0.362722,0.361993,0.361214,0.360387,0.359509,0.35858,0.357602,0.356572,0.35549
0.329762,0.33177,0.333717,0.335604,0.33743,0.339198,0.340907,0.342559,0.344153,0.345691,0.347174,0.348601,0.349974,0.351293,0.352558,0.35377,0.354929,0.356037,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363722,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366958,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366073,0.365635,0.365149,0.364615,0.364032,0.363401,0.362722,0.361993,0.361214,0.360387,0.359509,0.35858,0.357602,0.356572
0.327692,0.329762,0.33177,0.333717,0.335604,0.33743,0.339198,0.340907,0.342559,0.344153,0.345691,0.347174,0.348601,0.349974,0.351292,0.352558,0.35377,0.354929,0.356036,0.357092,0.358097,0.35905,0.359953,0.360806,0.361609,0.362363,0.363067,0.363722,0.364329,0.364887,0.365397,0.365859,0.366273,0.36664,0.366958,0.36723,0.367454,0.367631,0.36776,0.367843,0.367878,0.367866,0.367807,0.367701,0.367548,0.367348,0.3671,0.366805,0.366463,0.366073,0.365635,0.365149,0.364615,0.364032,0.363401,0.362722,0.361993,0.361214,0.360387,0.359509,0.358581,0.357602
